Date,Client Name,Legal Entity,Received Amount,Delivered Amount,Net Amount
2017-11-01,HSBC,CitiBank London,106774,59417,47357
2017-12-01,HSBC,CitiBank London,102886,56199,46687
2018-01-01,HSBC,CitiBank London,102443,59312,43131
2018-02-01,HSBC,CitiBank London,106982,55334,51648
2018-03-01,HSBC,CitiBank London,106738,59514,47224
2018-04-01,HSBC,CitiBank London,107558,51616,55942
2010-01-01,HSBC,CitiBank Pune,18163,94137,-75974
2010-02-01,HSBC,CitiBank Pune,13828,96115,-82287
2010-03-01,HSBC,CitiBank Pune,11991,91861,-79870
2010-04-01,HSBC,CitiBank Pune,13596,95953,-82357
2010-05-01,HSBC,CitiBank Pune,12875,99879,-87004
2010-06-01,HSBC,CitiBank Pune,15473,92762,-77289
2010-07-01,HSBC,CitiBank Pune,12119,97854,-85735
2010-08-01,HSBC,CitiBank Pune,11455,95789,-84334
2010-09-01,HSBC,CitiBank Pune,13832,93684,-79852
2010-10-01,HSBC,CitiBank Pune,19355,99755,-80400
2010-11-01,HSBC,CitiBank Pune,21141,93912,-72771
2010-12-01,HSBC,CitiBank Pune,26659,97862,-71203
2011-01-01,HSBC,CitiBank Pune,28488,93887,-65399
2011-02-01,HSBC,CitiBank Pune,24343,91468,-67125
2011-03-01,HSBC,CitiBank Pune,24667,97635,-72968
2011-04-01,HSBC,CitiBank Pune,27423,98984,-71561
2011-05-01,HSBC,CitiBank Pune,28567,93485,-64918
2011-06-01,HSBC,CitiBank Pune,28296,93396,-65100
2011-07-01,HSBC,CitiBank Pune,26975,99494,-72519
2011-08-01,HSBC,CitiBank Pune,25749,91411,-65662
2011-09-01,HSBC,CitiBank Pune,32753,88999,-56246
2011-10-01,HSBC,CitiBank Pune,33589,83841,-50252
2011-11-01,HSBC,CitiBank Pune,38277,87783,-49506
2011-12-01,HSBC,CitiBank Pune,33535,81813,-48278
2012-01-01,HSBC,CitiBank Pune,31291,87147,-55856
2012-02-01,HSBC,CitiBank Pune,31458,85877,-54419
2012-03-01,HSBC,CitiBank Pune,34752,89749,-54997
2012-04-01,HSBC,CitiBank Pune,37639,88195,-50556
2012-05-01,HSBC,CitiBank Pune,35725,89872,-54147
2012-06-01,HSBC,CitiBank Pune,33852,89231,-55379
2012-07-01,HSBC,CitiBank Pune,46249,87937,-41688
2012-08-01,HSBC,CitiBank Pune,49843,86149,-36306
2012-09-01,HSBC,CitiBank Pune,42936,84425,-41489
2012-10-01,HSBC,CitiBank Pune,46876,87213,-40337
2012-11-01,HSBC,CitiBank Pune,42969,87766,-44797
2012-12-01,HSBC,CitiBank Pune,49134,85182,-36048
2013-01-01,HSBC,CitiBank Pune,41463,87981,-46518
2013-02-01,HSBC,CitiBank Pune,45353,85551,-40198
2013-03-01,HSBC,CitiBank Pune,42951,89673,-46722
2013-04-01,HSBC,CitiBank Pune,41617,87187,-45570
2013-05-01,HSBC,CitiBank Pune,58692,77742,-19050
2013-06-01,HSBC,CitiBank Pune,51927,79481,-27554
2013-07-01,HSBC,CitiBank Pune,57165,73997,-16832
2013-08-01,HSBC,CitiBank Pune,59929,76233,-16304
2013-09-01,HSBC,CitiBank Pune,51242,74562,-23320
2013-10-01,HSBC,CitiBank Pune,52684,73656,-20972
2013-11-01,HSBC,CitiBank Pune,58769,72232,-13463
2013-12-01,HSBC,CitiBank Pune,53115,79455,-26340
2014-01-01,HSBC,CitiBank Pune,53231,79833,-26602
2014-02-01,HSBC,CitiBank Pune,55356,75187,-19831
2014-03-01,HSBC,CitiBank Pune,62366,72684,-10318
2014-04-01,HSBC,CitiBank Pune,65698,74391,-8693
2014-05-01,HSBC,CitiBank Pune,66393,77148,-10755
2014-06-01,HSBC,CitiBank Pune,63259,79868,-16609
2014-07-01,HSBC,CitiBank Pune,63295,74468,-11173
2014-08-01,HSBC,CitiBank Pune,62113,77219,-15106
2014-09-01,HSBC,CitiBank Pune,64236,76994,-12758
2014-10-01,HSBC,CitiBank Pune,64876,73685,-8809
2014-11-01,HSBC,CitiBank Pune,68848,77998,-9150
2014-12-01,HSBC,CitiBank Pune,67487,75799,-8312
2015-01-01,HSBC,CitiBank Pune,76682,69148,7534
2015-02-01,HSBC,CitiBank Pune,75557,61387,14170
2015-03-01,HSBC,CitiBank Pune,78186,65269,12917
2015-04-01,HSBC,CitiBank Pune,74595,65612,8983
2015-05-01,HSBC,CitiBank Pune,73648,68938,4710
2015-06-01,HSBC,CitiBank Pune,76734,64214,12520
2015-07-01,HSBC,CitiBank Pune,78169,63229,14940
2015-08-01,HSBC,CitiBank Pune,79174,64395,14779
2015-09-01,HSBC,CitiBank Pune,75256,63415,11841
2015-10-01,HSBC,CitiBank Pune,78929,69743,9186
2015-11-01,HSBC,CitiBank Pune,82914,64226,18688
2015-12-01,HSBC,CitiBank Pune,87777,65762,22015
2016-01-01,HSBC,CitiBank Pune,89285,61283,28002
2016-02-01,HSBC,CitiBank Pune,84636,64858,19778
2016-03-01,HSBC,CitiBank Pune,88178,65645,22533
2016-04-01,HSBC,CitiBank Pune,86661,63213,23448
2016-05-01,HSBC,CitiBank Pune,84614,64279,20335
2016-06-01,HSBC,CitiBank Pune,87749,69398,18351
2016-07-01,HSBC,CitiBank Pune,84459,63763,20696
2016-08-01,HSBC,CitiBank Pune,86249,62787,23462
2016-09-01,HSBC,CitiBank Pune,94961,55617,39344
2016-10-01,HSBC,CitiBank Pune,95156,56497,38659
2016-11-01,HSBC,CitiBank Pune,91681,53218,38463
2016-12-01,HSBC,CitiBank Pune,99485,51314,48171
2017-01-01,HSBC,CitiBank Pune,97518,58459,39059
2017-02-01,HSBC,CitiBank Pune,96219,52217,44002
2017-03-01,HSBC,CitiBank Pune,95765,53971,41794
2017-04-01,HSBC,CitiBank Pune,94196,57665,36531
2017-05-01,HSBC,CitiBank Pune,91923,57393,34530
2017-06-01,HSBC,CitiBank Pune,99447,56324,43123
2017-07-01,HSBC,CitiBank Pune,104477,56732,47745
2017-08-01,HSBC,CitiBank Pune,109888,58396,51492
2017-09-01,HSBC,CitiBank Pune,107316,53211,54105
2017-10-01,HSBC,CitiBank Pune,105159,54356,50803
2017-11-01,HSBC,CitiBank Pune,106677,52527,54150
2017-12-01,HSBC,CitiBank Pune,105332,52237,53095
2018-01-01,HSBC,CitiBank Pune,105366,54513,50853
2018-02-01,HSBC,CitiBank Pune,104276,56216,48060
2018-03-01,HSBC,CitiBank Pune,106818,52837,53981
2018-04-01,HSBC,CitiBank Pune,102798,52221,50577
2010-01-01,HSBC,CitiBank Singapore,12824,96348,-83524
2010-02-01,HSBC,CitiBank Singapore,14543,98646,-84103
2010-03-01,HSBC,CitiBank Singapore,18946,98679,-79733
2010-04-01,HSBC,CitiBank Singapore,16832,92286,-75454
2010-05-01,HSBC,CitiBank Singapore,13333,98916,-85583
2010-06-01,HSBC,CitiBank Singapore,11667,97723,-86056
2010-07-01,HSBC,CitiBank Singapore,14322,96832,-82510
2010-08-01,HSBC,CitiBank Singapore,19243,97837,-78594
2010-09-01,HSBC,CitiBank Singapore,18979,95749,-76770
2010-10-01,HSBC,CitiBank Singapore,12726,92127,-79401
2010-11-01,HSBC,CitiBank Singapore,24745,99584,-74839
2010-12-01,HSBC,CitiBank Singapore,25385,97173,-71788
2011-01-01,HSBC,CitiBank Singapore,25588,99231,-73643
2011-02-01,HSBC,CitiBank Singapore,29555,97288,-67733
2011-03-01,HSBC,CitiBank Singapore,29459,96668,-67209
2011-04-01,HSBC,CitiBank Singapore,21737,96826,-75089
2011-05-01,HSBC,CitiBank Singapore,21285,96644,-75359
2011-06-01,HSBC,CitiBank Singapore,28394,92958,-64564
2011-07-01,HSBC,CitiBank Singapore,27349,97455,-70106
2011-08-01,HSBC,CitiBank Singapore,23923,93961,-70038
2011-09-01,HSBC,CitiBank Singapore,34926,83888,-48962
2011-10-01,HSBC,CitiBank Singapore,31846,87235,-55389
2011-11-01,HSBC,CitiBank Singapore,33198,86324,-53126
2011-12-01,HSBC,CitiBank Singapore,32359,83785,-51426
2012-01-01,HSBC,CitiBank Singapore,31239,82585,-51346
2012-02-01,HSBC,CitiBank Singapore,34278,81857,-47579
2012-03-01,HSBC,CitiBank Singapore,37386,87175,-49789
2012-04-01,HSBC,CitiBank Singapore,37761,89123,-51362
2012-05-01,HSBC,CitiBank Singapore,31548,89799,-58251
2012-06-01,HSBC,CitiBank Singapore,37422,83751,-46329
2012-07-01,HSBC,CitiBank Singapore,47697,89795,-42098
2012-08-01,HSBC,CitiBank Singapore,43447,88795,-45348
2012-09-01,HSBC,CitiBank Singapore,41474,89349,-47875
2012-10-01,HSBC,CitiBank Singapore,44516,81373,-36857
2012-11-01,HSBC,CitiBank Singapore,44922,85954,-41032
2012-12-01,HSBC,CitiBank Singapore,42627,81691,-39064
2013-01-01,HSBC,CitiBank Singapore,43267,87856,-44589
2013-02-01,HSBC,CitiBank Singapore,42674,83239,-40565
2013-03-01,HSBC,CitiBank Singapore,48539,87998,-39459
2013-04-01,HSBC,CitiBank Singapore,41759,84884,-43125
2013-05-01,HSBC,CitiBank Singapore,57285,78271,-20986
2013-06-01,HSBC,CitiBank Singapore,59353,72934,-13581
2013-07-01,HSBC,CitiBank Singapore,53486,71862,-18376
2013-08-01,HSBC,CitiBank Singapore,59539,77844,-18305
2013-09-01,HSBC,CitiBank Singapore,56147,79978,-23831
2013-10-01,HSBC,CitiBank Singapore,55171,76554,-21383
2013-11-01,HSBC,CitiBank Singapore,56387,71482,-15095
2013-12-01,HSBC,CitiBank Singapore,54816,73397,-18581
2014-01-01,HSBC,CitiBank Singapore,59481,75784,-16303
2014-02-01,HSBC,CitiBank Singapore,56156,73222,-17066
2014-03-01,HSBC,CitiBank Singapore,66572,74811,-8239
2014-04-01,HSBC,CitiBank Singapore,61524,75313,-13789
2014-05-01,HSBC,CitiBank Singapore,62136,78581,-16445
2014-06-01,HSBC,CitiBank Singapore,69321,74522,-5201
2014-07-01,HSBC,CitiBank Singapore,69822,71892,-2070
2014-08-01,HSBC,CitiBank Singapore,63779,73552,-9773
2014-09-01,HSBC,CitiBank Singapore,63988,71218,-7230
2014-10-01,HSBC,CitiBank Singapore,64521,77878,-13357
2014-11-01,HSBC,CitiBank Singapore,64193,78466,-14273
2014-12-01,HSBC,CitiBank Singapore,64585,74656,-10071
2015-01-01,HSBC,CitiBank Singapore,79549,66414,13135
2015-02-01,HSBC,CitiBank Singapore,75625,62861,12764
2015-03-01,HSBC,CitiBank Singapore,74861,66474,8387
2015-04-01,HSBC,CitiBank Singapore,72874,61178,11696
2015-05-01,HSBC,CitiBank Singapore,73923,62249,11674
2015-06-01,HSBC,CitiBank Singapore,74499,66165,8334
2015-07-01,HSBC,CitiBank Singapore,72596,64671,7925
2015-08-01,HSBC,CitiBank Singapore,73621,62261,11360
2015-09-01,HSBC,CitiBank Singapore,71557,62316,9241
2015-10-01,HSBC,CitiBank Singapore,79384,61576,17808
2015-11-01,HSBC,CitiBank Singapore,87252,69481,17771
2015-12-01,HSBC,CitiBank Singapore,81835,66244,15591
2016-01-01,HSBC,CitiBank Singapore,86411,65737,20674
2016-02-01,HSBC,CitiBank Singapore,85378,65245,20133
2016-03-01,HSBC,CitiBank Singapore,85419,62357,23062
2016-04-01,HSBC,CitiBank Singapore,89999,68428,21571
2016-05-01,HSBC,CitiBank Singapore,87811,69374,18437
2016-06-01,HSBC,CitiBank Singapore,86861,67573,19288
2016-07-01,HSBC,CitiBank Singapore,87824,62856,24968
2016-08-01,HSBC,CitiBank Singapore,89775,63731,26044
2016-09-01,HSBC,CitiBank Singapore,91367,52182,39185
2016-10-01,HSBC,CitiBank Singapore,99789,58518,41271
2016-11-01,HSBC,CitiBank Singapore,95285,57468,37817
2016-12-01,HSBC,CitiBank Singapore,93217,59989,33228
2017-01-01,HSBC,CitiBank Singapore,97384,58166,39218
2017-02-01,HSBC,CitiBank Singapore,95499,52515,42984
2017-03-01,HSBC,CitiBank Singapore,97556,55155,42401
2017-04-01,HSBC,CitiBank Singapore,91316,57422,33894
2017-05-01,HSBC,CitiBank Singapore,96164,52676,43488
2017-06-01,HSBC,CitiBank Singapore,92624,57899,34725
2017-07-01,HSBC,CitiBank Singapore,101711,58922,42789
2017-08-01,HSBC,CitiBank Singapore,109318,51499,57819
2017-09-01,HSBC,CitiBank Singapore,105145,58151,46994
2017-10-01,HSBC,CitiBank Singapore,107165,57562,49603
2017-11-01,HSBC,CitiBank Singapore,104978,58166,46812
2017-12-01,HSBC,CitiBank Singapore,105183,52818,52365
2018-01-01,HSBC,CitiBank Singapore,103296,54349,48947
2018-02-01,HSBC,CitiBank Singapore,102237,54276,47961
2018-03-01,HSBC,CitiBank Singapore,103248,53632,49616
2018-04-01,HSBC,CitiBank Singapore,101289,54793,46496
2010-01-01,HSBC,CitiBank HongKong,15455,96411,-80956
2010-02-01,HSBC,CitiBank HongKong,12698,94161,-81463
2010-03-01,HSBC,CitiBank HongKong,18222,98684,-80462
2010-04-01,HSBC,CitiBank HongKong,15348,91537,-76189
2010-05-01,HSBC,CitiBank HongKong,14591,98631,-84040
2010-06-01,HSBC,CitiBank HongKong,13151,98917,-85766
2010-07-01,HSBC,CitiBank HongKong,11782,99296,-87514
2010-08-01,HSBC,CitiBank HongKong,14598,94927,-80329
2010-09-01,HSBC,CitiBank HongKong,18222,91855,-73633
2010-10-01,HSBC,CitiBank HongKong,11824,93754,-81930
2010-11-01,HSBC,CitiBank HongKong,28328,92786,-64458
2010-12-01,HSBC,CitiBank HongKong,25871,91434,-65563
2011-01-01,HSBC,CitiBank HongKong,29757,91112,-61355
2011-02-01,HSBC,CitiBank HongKong,26855,98132,-71277
2011-03-01,HSBC,CitiBank HongKong,23277,92857,-69580
2011-04-01,HSBC,CitiBank HongKong,25814,97742,-71928
2011-05-01,HSBC,CitiBank HongKong,21457,95553,-74096
2011-06-01,HSBC,CitiBank HongKong,24994,92919,-67925
2011-07-01,HSBC,CitiBank HongKong,27645,96794,-69149
2011-08-01,HSBC,CitiBank HongKong,28436,94888,-66452
2011-09-01,HSBC,CitiBank HongKong,34254,82218,-47964
2011-10-01,HSBC,CitiBank HongKong,34453,86349,-51896
2011-11-01,HSBC,CitiBank HongKong,31795,82477,-50682
2011-12-01,HSBC,CitiBank HongKong,39824,82873,-43049
2012-01-01,HSBC,CitiBank HongKong,34257,87646,-53389
2012-02-01,HSBC,CitiBank HongKong,34671,81597,-46926
2012-03-01,HSBC,CitiBank HongKong,39895,82816,-42921
2012-04-01,HSBC,CitiBank HongKong,34634,83143,-48509
2012-05-01,HSBC,CitiBank HongKong,37393,88362,-50969
2012-06-01,HSBC,CitiBank HongKong,39399,86589,-47190
2012-07-01,HSBC,CitiBank HongKong,42661,81522,-38861
2012-08-01,HSBC,CitiBank HongKong,42614,82763,-40149
2012-09-01,HSBC,CitiBank HongKong,45413,88756,-43343
2012-10-01,HSBC,CitiBank HongKong,42126,85741,-43615
2012-11-01,HSBC,CitiBank HongKong,43929,81516,-37587
2012-12-01,HSBC,CitiBank HongKong,44315,84264,-39949
2013-01-01,HSBC,CitiBank HongKong,49864,87345,-37481
2013-02-01,HSBC,CitiBank HongKong,45491,81316,-35825
2013-03-01,HSBC,CitiBank HongKong,46374,89597,-43223
2013-04-01,HSBC,CitiBank HongKong,47745,87168,-39423
2013-05-01,HSBC,CitiBank HongKong,55392,78755,-23363
2013-06-01,HSBC,CitiBank HongKong,59569,77594,-18025
2013-07-01,HSBC,CitiBank HongKong,54118,71245,-17127
2013-08-01,HSBC,CitiBank HongKong,54966,75458,-20492
2013-09-01,HSBC,CitiBank HongKong,51337,71918,-20581
2013-10-01,HSBC,CitiBank HongKong,51717,76249,-24532
2013-11-01,HSBC,CitiBank HongKong,57172,75599,-18427
2013-12-01,HSBC,CitiBank HongKong,51556,78925,-27369
2014-01-01,HSBC,CitiBank HongKong,51326,78879,-27553
2014-02-01,HSBC,CitiBank HongKong,57687,78835,-21148
2014-03-01,HSBC,CitiBank HongKong,63363,73622,-10259
2014-04-01,HSBC,CitiBank HongKong,68629,72831,-4202
2014-05-01,HSBC,CitiBank HongKong,65854,76684,-10830
2014-06-01,HSBC,CitiBank HongKong,66618,71521,-4903
2014-07-01,HSBC,CitiBank HongKong,68566,75622,-7056
2014-08-01,HSBC,CitiBank HongKong,62391,73853,-11462
2014-09-01,HSBC,CitiBank HongKong,61541,76484,-14943
2014-10-01,HSBC,CitiBank HongKong,67568,73443,-5875
2014-11-01,HSBC,CitiBank HongKong,62745,75544,-12799
